Game ID,Date,Duration (s),Winner,Ball Speed,Theme,Language,Player,Lives,Hits
"G1770703050981-711","2026-02-10T05:57:58.108Z","27.13","Tony","7.04","dark","en","Tony","1","7"
"G1770703050981-711","2026-02-10T05:57:58.108Z","27.13","Tony","7.04","dark","en","CPU","0","6"
"G1770703050981-711","2026-02-10T05:57:58.108Z","27.13","Tony","7.04","dark","en","Player 3","0","0"
"G1770703050981-711","2026-02-10T05:57:58.108Z","27.13","Tony","7.04","dark","en","Player 4","0","0"
