Game ID,Timestamp (ms),Player,Action
"G1770696505313-380","4000","System","Ball served towards CPU"
"G1770696505313-380","5212","CPU","Hit Ball"
"G1770696505313-380","7730","Player 1","Lost Life. Remaining: 1"
"G1770696505313-380","7731","System","Ball served towards CPU"
"G1770696505313-380","9030","CPU","Hit Ball"
"G1770696505313-380","11513","Player 1","Hit Ball"
"G1770696505313-380","13997","CPU","Hit Ball"
"G1770696505313-380","16481","Player 1","Hit Ball"
"G1770696505313-380","18964","CPU","Hit Ball"
"G1770696505313-380","21547","Player 1","Lost Life. Remaining: 0"
"G1770696505313-380","21547","Player 1","Eliminated"
