Game ID,Date,Duration (s),Winner,Player,Lives,Hits
"G1770696669679-258","2026-02-10T04:11:55.203Z","45.52","Player 1","Player 1","1","3"
"G1770696669679-258","2026-02-10T04:11:55.203Z","45.52","Player 1","CPU","0","1"
"G1770696669679-258","2026-02-10T04:11:55.203Z","45.52","Player 1","CPU","0","8"
"G1770696669679-258","2026-02-10T04:11:55.203Z","45.52","Player 1","Sue","0","6"
