Game ID,Date,Duration (s),Winner,Player,Lives,Hits
"G1770696505313-380","2026-02-10T04:08:46.860Z","21.55","CPU","Player 1","0","2"
"G1770696505313-380","2026-02-10T04:08:46.860Z","21.55","CPU","CPU","1","4"
