Game ID,Timestamp (ms),Player,Action
"G1770703980208-940","4001","System","Ball served towards CPU"
"G1770703980208-940","4814","CPU","Hit Ball"
"G1770703980208-940","6431","Player 1","Hit Ball"
"G1770703980208-940","8048","CPU","Hit Ball"
"G1770703980208-940","9732","Player 1","Lost Life. Remaining: 0"
"G1770703980208-940","9732","Player 1","Eliminated"
"G1770703980208-940","9732","System","Ball served towards CPU"
"G1770703980208-940","10682","CPU","Hit Ball"
"G1770703980208-940","11249","Player 3","Lost Life. Remaining: 0"
"G1770703980208-940","11249","Player 3","Eliminated"
"G1770703980208-940","11249","System","Ball served towards CPU"
"G1770703980208-940","12399","CPU","Hit Ball"
"G1770703980208-940","19299","Player 4","Lost Life. Remaining: 0"
"G1770703980208-940","19299","Player 4","Eliminated"
