Game ID,Timestamp (ms),Player,Action
"G1770703050981-711","4001","System","Ball served towards Tony"
"G1770703050981-711","4809","Tony","Hit Ball"
"G1770703050981-711","6426","CPU","Hit Ball"
"G1770703050981-711","8043","Tony","Hit Ball"
"G1770703050981-711","9659","CPU","Hit Ball"
"G1770703050981-711","11276","Tony","Hit Ball"
"G1770703050981-711","12893","CPU","Hit Ball"
"G1770703050981-711","14509","Tony","Hit Ball"
"G1770703050981-711","16126","CPU","Hit Ball"
"G1770703050981-711","17743","Tony","Hit Ball"
"G1770703050981-711","19360","CPU","Hit Ball"
"G1770703050981-711","20625","Player 3","Lost Life. Remaining: 0"
"G1770703050981-711","20626","Player 3","Eliminated"
"G1770703050981-711","20626","System","Ball served towards CPU"
"G1770703050981-711","21710","CPU","Hit Ball"
"G1770703050981-711","23876","Tony","Hit Ball"
"G1770703050981-711","23892","Player 4","Lost Life. Remaining: 0"
"G1770703050981-711","23892","Player 4","Eliminated"
"G1770703050981-711","23892","System","Ball served towards Tony"
"G1770703050981-711","24943","Tony","Hit Ball"
"G1770703050981-711","27127","CPU","Lost Life. Remaining: 0"
"G1770703050981-711","27127","CPU","Eliminated"
