Game ID,Timestamp (ms),Player,Action
"G1770705928896-709","4001","System","Ball served towards 电脑"
"G1770705928896-709","4812","电脑","Hit Ball"
"G1770705928896-709","6429","玩家 1","Hit Ball"
"G1770705928896-709","8046","电脑","Hit Ball"
"G1770705928896-709","9663","玩家 1","Hit Ball"
"G1770705928896-709","11195","玩家 3","Lost Life. Remaining: 0"
"G1770705928896-709","11195","玩家 3","Eliminated"
"G1770705928896-709","11195","System","Ball served towards 玩家 4"
"G1770705928896-709","12029","玩家 4","Hit Ball"
"G1770705928896-709","13662","电脑","Lost Life. Remaining: 0"
"G1770705928896-709","13662","电脑","Eliminated"
"G1770705928896-709","13662","System","Ball served towards 玩家 4"
"G1770705928896-709","14479","玩家 4","Hit Ball"
"G1770705928896-709","17929","玩家 4","Lost Life. Remaining: 0"
"G1770705928896-709","17930","玩家 4","Eliminated"
