Game ID,Date,Duration (s),Winner,Player,Lives,Hits
"G1770696881138-206","2026-02-10T04:14:52.896Z","11.76","CPU","Player 1","0","0"
"G1770696881138-206","2026-02-10T04:14:52.896Z","11.76","CPU","CPU","1","1"
