Game ID,Timestamp (ms),Player,Action
"G1770706300412-873","4000","System","Ball served towards 玩家 1"
"G1770706300412-873","4809","玩家 1","Hit Ball"
"G1770706300412-873","6425","电脑","Hit Ball"
"G1770706300412-873","6860","玩家 3","Lost Life. Remaining: 0"
"G1770706300412-873","6860","玩家 3","Eliminated"
"G1770706300412-873","6860","System","Ball served towards 电脑"
"G1770706300412-873","7910","电脑","Hit Ball"
"G1770706300412-873","10076","玩家 1","Lost Life. Remaining: 0"
"G1770706300412-873","10076","玩家 1","Eliminated"
"G1770706300412-873","10076","System","Ball served towards 电脑"
"G1770706300412-873","10943","电脑","Hit Ball"
"G1770706300412-873","12226","玩家 4","Lost Life. Remaining: 0"
"G1770706300412-873","12226","玩家 4","Eliminated"
