Game ID,Date,Duration (s),Winner,Player,Lives,Hits
"G1770695706019-650","2026-02-10T03:55:21.055Z","15.04","CPU","Player 1","0","2"
"G1770695706019-650","2026-02-10T03:55:21.055Z","15.04","CPU","CPU","1","2"
