Game ID,Date,Duration (s),Winner,Player,Lives,Hits
"G1770696929045-50","2026-02-10T04:15:47.115Z","18.07","Player 1","Player 1","1","4"
"G1770696929045-50","2026-02-10T04:15:47.115Z","18.07","Player 1","CPU","0","3"
