Game ID,Timestamp (ms),Player,Action
"G1770703089772-903","4001","System","Ball served towards Tony"
"G1770703089772-903","4803","Tony","Hit Ball"
"G1770703089772-903","6420","CPU","Hit Ball"
"G1770703089772-903","8035","Tony","Hit Ball"
"G1770703089772-903","9653","CPU","Hit Ball"
"G1770703089772-903","10353","Sue","Hit Ball"
"G1770703089772-903","11587","Tony","Hit Ball"
"G1770703089772-903","13753","CPU","Hit Ball"
"G1770703089772-903","15920","Tony","Hit Ball"
"G1770703089772-903","17137","Sue","Hit Ball"
"G1770703089772-903","17853","CPU","Hit Ball"
"G1770703089772-903","19487","Tony","Hit Ball"
"G1770703089772-903","20603","Sue","Lost Life. Remaining: 0"
"G1770703089772-903","20603","Sue","Eliminated"
"G1770703089772-903","20603","System","Ball served towards Tony"
"G1770703089772-903","21420","Tony","Hit Ball"
"G1770703089772-903","23036","CPU","Hit Ball"
"G1770703089772-903","24654","Tony","Hit Ball"
"G1770703089772-903","26270","CPU","Hit Ball"
"G1770703089772-903","27887","Tony","Hit Ball"
"G1770703089772-903","29503","CPU","Hit Ball"
"G1770703089772-903","31120","Tony","Hit Ball"
"G1770703089772-903","32737","CPU","Hit Ball"
"G1770703089772-903","34354","Tony","Hit Ball"
"G1770703089772-903","35971","CPU","Hit Ball"
"G1770703089772-903","37587","Tony","Hit Ball"
"G1770703089772-903","39271","CPU","Lost Life. Remaining: 0"
"G1770703089772-903","39271","CPU","Eliminated"
