Game ID,Date,Duration (s),Winner,Player,Lives,Hits
"G1770695401058-196","2026-02-10T03:54:35.970Z","274.91","CPU","Player 1","0","1"
"G1770695401058-196","2026-02-10T03:54:35.970Z","274.91","CPU","CPU","1","1"
