Game ID,Timestamp (ms),Player,Action
"G1770703942126-77","4001","System","Ball served towards 电脑"
"G1770703942126-77","4812","电脑","Hit Ball"
"G1770703942126-77","6429","CPU","Hit Ball"
"G1770703942126-77","8046","电脑","Hit Ball"
"G1770703942126-77","9663","CPU","Hit Ball"
"G1770703942126-77","10329","Player 2","Hit Ball"
"G1770703942126-77","11729","电脑","Hit Ball"
"G1770703942126-77","14129","CPU","Hit Ball"
"G1770703942126-77","15979","Player 1","Lost Life. Remaining: 0"
"G1770703942126-77","15979","Player 1","Eliminated"
"G1770703942126-77","15979","System","Ball served towards CPU"
"G1770703942126-77","17096","CPU","Hit Ball"
"G1770703942126-77","19063","Player 2","Lost Life. Remaining: 0"
"G1770703942126-77","19063","Player 2","Eliminated"
"G1770703942126-77","19063","System","Ball served towards 电脑"
"G1770703942126-77","19879","电脑","Hit Ball"
"G1770703942126-77","21512","CPU","Hit Ball"
"G1770703942126-77","23146","电脑","Hit Ball"
"G1770703942126-77","24780","CPU","Hit Ball"
"G1770703942126-77","26413","电脑","Hit Ball"
"G1770703942126-77","28130","CPU","Lost Life. Remaining: 0"
"G1770703942126-77","28130","CPU","Eliminated"
