Game ID,Date,Duration (s),Winner,Ball Speed,Player,Lives,Hits
"G1770697236945-565","2026-02-10T04:20:43.828Z","6.88","CPU","7.02","Player 1","0","0"
"G1770697236945-565","2026-02-10T04:20:43.828Z","6.88","CPU","7.02","CPU","1","1"
