Game ID,Timestamp (ms),Player,Action
"G1770705955063-825","4001","System","Ball served towards 玩家 3"
"G1770705955063-825","4813","玩家 3","Hit Ball"
"G1770705955063-825","6496","玩家 4","Lost Life. Remaining: 0"
"G1770705955063-825","6496","玩家 4","Eliminated"
"G1770705955063-825","6496","System","Ball served towards 玩家 3"
"G1770705955063-825","7380","玩家 3","Lost Life. Remaining: 0"
"G1770705955063-825","7380","玩家 3","Eliminated"
"G1770705955063-825","7380","System","Ball served towards 玩家 2"
"G1770705955063-825","8213","玩家 2","Hit Ball"
"G1770705955063-825","9930","玩家 1","Lost Life. Remaining: 0"
"G1770705955063-825","9930","玩家 1","Eliminated"
