Game ID,Timestamp (ms),Player,Action
"G1770696669679-258","4000","System","Ball served towards Sue"
"G1770696669679-258","5039","Sue","Hit Ball"
"G1770696669679-258","7121","CPU","Hit Ball"
"G1770696669679-258","9206","Sue","Hit Ball"
"G1770696669679-258","11289","CPU","Hit Ball"
"G1770696669679-258","12556","Player 1","Hit Ball"
"G1770696669679-258","13555","Sue","Hit Ball"
"G1770696669679-258","16122","CPU","Hit Ball"
"G1770696669679-258","18689","Sue","Hit Ball"
"G1770696669679-258","21255","CPU","Hit Ball"
"G1770696669679-258","23822","Sue","Hit Ball"
"G1770696669679-258","26389","CPU","Hit Ball"
"G1770696669679-258","28955","Sue","Hit Ball"
"G1770696669679-258","31523","CPU","Hit Ball"
"G1770696669679-258","33706","CPU","Hit Ball"
"G1770696669679-258","34056","Sue","Lost Life. Remaining: 0"
"G1770696669679-258","34056","Sue","Eliminated"
"G1770696669679-258","34056","System","Ball served towards CPU"
"G1770696669679-258","35523","CPU","Hit Ball"
"G1770696669679-258","35656","CPU","Lost Life. Remaining: 0"
"G1770696669679-258","35656","CPU","Eliminated"
"G1770696669679-258","35656","System","Ball served towards CPU"
"G1770696669679-258","37090","CPU","Hit Ball"
"G1770696669679-258","39623","Player 1","Hit Ball"
"G1770696669679-258","44323","Player 1","Hit Ball"
"G1770696669679-258","45524","CPU","Lost Life. Remaining: 0"
"G1770696669679-258","45524","CPU","Eliminated"
