Game ID,Date,Duration (s),Winner,Player,Lives,Hits
"G1770696327271-626","2026-02-10T04:05:50.103Z","22.83","CPU","Player 1","0","2"
"G1770696327271-626","2026-02-10T04:05:50.103Z","22.83","CPU","CPU","3","4"
