Game ID,Timestamp (ms),Player,Action
"G1770696622709-655","4002","System","Ball served towards Tom"
"G1770696622709-655","5040","Tom","Hit Ball"
"G1770696622709-655","7124","CPU","Hit Ball"
"G1770696622709-655","9205","Tom","Hit Ball"
"G1770696622709-655","11289","CPU","Hit Ball"
"G1770696622709-655","13373","Tom","Hit Ball"
"G1770696622709-655","15456","CPU","Hit Ball"
"G1770696622709-655","17473","CPU","Lost Life. Remaining: 0"
"G1770696622709-655","17474","CPU","Eliminated"
"G1770696622709-655","17474","System","Ball served towards CPU"
"G1770696622709-655","18607","CPU","Hit Ball"
"G1770696622709-655","19841","Tom","Hit Ball"
"G1770696622709-655","22340","CPU","Hit Ball"
"G1770696622709-655","23673","CPU","Lost Life. Remaining: 0"
"G1770696622709-655","23673","CPU","Eliminated"
"G1770696622709-655","23673","System","Ball served towards CPU"
"G1770696622709-655","25107","CPU","Hit Ball"
"G1770696622709-655","27707","Tom","Hit Ball"
"G1770696622709-655","32091","CPU","Lost Life. Remaining: 0"
"G1770696622709-655","32091","CPU","Eliminated"
