Game ID,Timestamp (ms),Player,Action
"G1770696327271-626","4000","System","Ball served towards Player 1"
"G1770696327271-626","5214","Player 1","Hit Ball"
"G1770696327271-626","7631","CPU","Hit Ball"
"G1770696327271-626","10047","Player 1","Hit Ball"
"G1770696327271-626","12464","CPU","Hit Ball"
"G1770696327271-626","14981","Player 1","Lost Life. Remaining: 2"
"G1770696327271-626","14981","System","Ball served towards CPU"
"G1770696327271-626","16248","CPU","Hit Ball"
"G1770696327271-626","18881","Player 1","Lost Life. Remaining: 1"
"G1770696327271-626","18881","System","Ball served towards CPU"
"G1770696327271-626","20165","CPU","Hit Ball"
"G1770696327271-626","22831","Player 1","Lost Life. Remaining: 0"
"G1770696327271-626","22831","Player 1","Eliminated"
