Game ID,Date,Duration (s),Winner,Ball Speed,Player,Lives,Hits
"G1770697028432-29","2026-02-10T04:17:26.502Z","18.07","cc","10.47","cc","1","4"
"G1770697028432-29","2026-02-10T04:17:26.502Z","18.07","cc","10.47","CPU","0","3"
