Game ID,Timestamp (ms),Player,Action
"G1770701255651-120","4001","System","Ball served towards Sune"
"G1770701255651-120","4802","Sune","Hit Ball"
"G1770701255651-120","6418","CPU","Hit Ball"
"G1770701255651-120","8034","Sune","Hit Ball"
"G1770701255651-120","9652","CPU","Hit Ball"
"G1770701255651-120","11270","Sune","Hit Ball"
"G1770701255651-120","11451","CPU","Lost Life. Remaining: 0"
"G1770701255651-120","11451","CPU","Eliminated"
"G1770701255651-120","11451","System","Ball served towards Sune"
"G1770701255651-120","12502","Sune","Hit Ball"
"G1770701255651-120","14651","CPU","Lost Life. Remaining: 0"
"G1770701255651-120","14651","CPU","Eliminated"
"G1770701255651-120","14651","System","Ball served towards CPU"
"G1770701255651-120","15501","CPU","Hit Ball"
"G1770701255651-120","17184","Sune","Hit Ball"
"G1770701255651-120","18868","CPU","Hit Ball"
"G1770701255651-120","20551","Sune","Hit Ball"
"G1770701255651-120","22301","CPU","Lost Life. Remaining: 0"
"G1770701255651-120","22301","CPU","Eliminated"
