Game ID,Timestamp (ms),Player,Action
"G1770701447530-630","4001","System","Ball served towards CPU"
"G1770701447530-630","4801","CPU","Hit Ball"
"G1770701447530-630","6419","Tony","Hit Ball"
"G1770701447530-630","8036","CPU","Hit Ball"
"G1770701447530-630","9652","Tony","Hit Ball"
"G1770701447530-630","11268","CPU","Hit Ball"
"G1770701447530-630","11486","Sue","Lost Life. Remaining: 0"
"G1770701447530-630","11486","Sue","Eliminated"
"G1770701447530-630","11486","System","Ball served towards Tony"
"G1770701447530-630","12351","Tony","Hit Ball"
"G1770701447530-630","14051","CPU","Hit Ball"
"G1770701447530-630","15752","Tony","Hit Ball"
"G1770701447530-630","17452","CPU","Hit Ball"
"G1770701447530-630","19151","Tony","Hit Ball"
"G1770701447530-630","20935","CPU","Lost Life. Remaining: 0"
"G1770701447530-630","20935","CPU","Eliminated"
