Game ID,Timestamp (ms),Player,Action
"G1770697028432-29","4001","System","Ball served towards cc"
"G1770697028432-29","4919","cc","Hit Ball"
"G1770697028432-29","6785","CPU","Hit Ball"
"G1770697028432-29","8652","cc","Hit Ball"
"G1770697028432-29","10519","CPU","Hit Ball"
"G1770697028432-29","12387","cc","Hit Ball"
"G1770697028432-29","14252","CPU","Hit Ball"
"G1770697028432-29","16120","cc","Hit Ball"
"G1770697028432-29","18069","CPU","Lost Life. Remaining: 0"
"G1770697028432-29","18070","CPU","Eliminated"
