Game ID,Timestamp (ms),Player,Action
"G1770696583324-40","4002","System","Ball served towards Player 1"
"G1770696583324-40","5206","Player 1","Hit Ball"
"G1770696583324-40","7622","CPU","Hit Ball"
"G1770696583324-40","10040","Player 1","Hit Ball"
"G1770696583324-40","12456","CPU","Hit Ball"
"G1770696583324-40","14874","Player 1","Hit Ball"
"G1770696583324-40","17290","CPU","Hit Ball"
"G1770696583324-40","19807","Player 1","Lost Life. Remaining: 0"
"G1770696583324-40","19807","Player 1","Eliminated"
