Game ID,Date,Duration (s),Winner,Player,Lives,Hits
"G1770696583324-40","2026-02-10T04:10:03.131Z","19.81","CPU","Player 1","0","3"
"G1770696583324-40","2026-02-10T04:10:03.131Z","19.81","CPU","CPU","1","3"
