Game ID,Timestamp (ms),Player,Action
"G1770701335960-302","4001","System","Ball served towards Sune"
"G1770701335960-302","4808","Sune","Hit Ball"
"G1770701335960-302","6424","CPU","Hit Ball"
"G1770701335960-302","8124","Sune","Lost Life. Remaining: 0"
"G1770701335960-302","8124","Sune","Eliminated"
"G1770701335960-302","8124","System","Ball served towards CPU"
"G1770701335960-302","9023","CPU","Hit Ball"
"G1770701335960-302","10825","CPU","Hit Ball"
"G1770701335960-302","12374","CPU","Lost Life. Remaining: 0"
"G1770701335960-302","12374","CPU","Eliminated"
"G1770701335960-302","12374","System","Ball served towards CPU"
"G1770701335960-302","13307","CPU","Hit Ball"
"G1770701335960-302","15157","CPU","Hit Ball"
"G1770701335960-302","17007","CPU","Hit Ball"
"G1770701335960-302","18941","CPU","Lost Life. Remaining: 0"
"G1770701335960-302","18941","CPU","Eliminated"
