Game ID,Date,Duration (s),Winner,Player,Lives,Hits
"G1770696470645-643","2026-02-10T04:07:58.374Z","7.73","CPU","Player 1","0","0"
"G1770696470645-643","2026-02-10T04:07:58.374Z","7.73","CPU","CPU","1","1"
